DATE,DCOILWTICO
2018-03-16,62.29
2018-03-19,62.01
2018-03-20,63.37
2018-03-21,65.1
2018-03-22,64.25
2018-03-23,65.8
2018-03-26,65.49
2018-03-27,65.21
2018-03-28,64.3
2018-03-29,64.87
2018-03-30,.
2018-04-02,63.05
2018-04-03,63.41
2018-04-04,63.35
2018-04-05,63.53
2018-04-06,62.03
2018-04-09,63.4
2018-04-10,65.48
2018-04-11,66.81
2018-04-12,67.07
2018-04-13,67.35
2018-04-16,66.23
2018-04-17,66.5
2018-04-18,68.44
2018-04-19,68.3
2018-04-20,68.26
2018-04-23,67.61
2018-04-24,67.66
2018-04-25,68.0
2018-04-26,68.18
2018-04-27,68.11
2018-04-30,68.56
2018-05-01,67.28
2018-05-02,67.91
2018-05-03,68.45
2018-05-04,69.71
2018-05-07,70.74
2018-05-08,68.83
2018-05-09,71.16
2018-05-10,71.36
2018-05-11,70.69
2018-05-14,71.01
2018-05-15,71.34
2018-05-16,71.43
2018-05-17,71.47
2018-05-18,71.23
2018-05-21,72.26
2018-05-22,72.09
2018-05-23,71.85
2018-05-24,70.77
2018-05-25,67.92
2018-05-28,.
2018-05-29,66.8
2018-05-30,68.24
2018-05-31,66.98
2018-06-01,65.81
2018-06-04,64.76
2018-06-05,65.51
2018-06-06,64.75
2018-06-07,65.96
2018-06-08,65.77
2018-06-11,66.1
2018-06-12,66.38
2018-06-13,66.63
2018-06-14,66.91
2018-06-15,65.01
2018-06-18,65.91
2018-06-19,65.09
2018-06-20,65.92
2018-06-21,65.68
2018-06-22,69.02
2018-06-25,69.91
2018-06-26,75.23
2018-06-27,77.41
2018-06-28,73.45
2018-06-29,74.13
2018-07-02,73.89
2018-07-03,74.19
2018-07-04,.
2018-07-05,73.05
2018-07-06,73.78
2018-07-09,73.93
2018-07-10,74.11
2018-07-11,70.47
2018-07-12,70.28
2018-07-13,71.03
2018-07-16,68.22
2018-07-17,68.03
2018-07-18,68.78
2018-07-19,69.42
2018-07-20,70.31
2018-07-23,67.9
2018-07-24,70.77
2018-07-25,71.13
2018-07-26,71.59
2018-07-27,68.66
2018-07-30,71.19
2018-07-31,69.88
2018-08-01,68.8
2018-08-02,68.95
2018-08-03,68.49
2018-08-06,69.01
2018-08-07,69.17
2018-08-08,66.92
2018-08-09,66.81
2018-08-10,67.61
2018-08-13,67.25
2018-08-14,67.04
2018-08-15,65.07
2018-08-16,65.44
2018-08-17,65.93
2018-08-20,66.5
2018-08-21,67.32
2018-08-22,67.85
2018-08-23,69.13
2018-08-24,69.71
2018-08-27,69.97
2018-08-28,68.54
2018-08-29,69.68
2018-08-30,70.25
2018-08-31,69.84
2018-09-03,.
2018-09-04,69.82
2018-09-05,68.69
2018-09-06,67.81
2018-09-07,67.73
2018-09-10,67.55
2018-09-11,69.29
2018-09-12,70.37
2018-09-13,68.6
2018-09-14,68.98
2018-09-17,68.86
